Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,7350;0,6042
Satelite_Molinos3_1024x1024;28,1841;0,4977
Satelite_Molinos_1024x1024;27,7156;0,4346
Satelite_Urbano2_1024x1024;27,8024;0,1216
Satelite_Urbano3_1024x1024;27,7475;0,1170
Satelite_Urbano4_1024x1024;27,7996;0,1853
Satelite_Urbano_1024x1024;27,7642;0,2230
Satelite_Vegetacion2_1024x1024;27,7942;0,1891
Satelite_Vegetacion3_1024x1024;27,6400;0,1833
Satelite_Vegetacion_1024x1024;28,2822;0,1709
Satelite_Viales2_1024x1024;27,6613;0,1447
Satelite_Viales_1024x1024;28,1532;0,4366
