Name;PSNR;SSIM
Satelite_Molinos2_SR;28,5784;0,5035
Satelite_Molinos3_SR;28,0681;0,4250
Satelite_Molinos_SR;28,1830;0,4182
Satelite_Urbano2_SR;27,8243;0,1153
Satelite_Urbano3_SR;27,7673;0,1087
Satelite_Urbano4_SR;27,8082;0,1606
Satelite_Urbano_SR;27,9023;0,2160
Satelite_Vegetacion2_SR;27,8752;0,1845
Satelite_Vegetacion3_SR;27,6953;0,1867
Satelite_Vegetacion_SR;28,3249;0,1555
Satelite_Viales2_SR;27,6903;0,1590
Satelite_Viales_SR;28,0377;0,3321
