Name;PSNR;SSIM
Satelite_Molinos2_SR;28,9424;0,5448
Satelite_Molinos3_SR;27,8395;0,4443
Satelite_Molinos_SR;27,9703;0,4267
Satelite_Urbano2_SR;27,8237;0,1182
Satelite_Urbano3_SR;27,7514;0,1106
Satelite_Urbano4_SR;27,8181;0,1725
Satelite_Urbano_SR;27,8314;0,2182
Satelite_Vegetacion2_SR;27,8345;0,1831
Satelite_Vegetacion3_SR;27,6659;0,1806
Satelite_Vegetacion_SR;28,3720;0,1574
Satelite_Viales2_SR;27,6807;0,1475
Satelite_Viales_SR;27,9629;0,3735
