Name;PSNR;SSIM
Satelite_Molinos2_SR;28,8813;0,5816
Satelite_Molinos3_SR;27,9667;0,4616
Satelite_Molinos_SR;27,8560;0,4259
Satelite_Urbano2_SR;27,8165;0,1179
Satelite_Urbano3_SR;27,7610;0,1111
Satelite_Urbano4_SR;27,8157;0,1761
Satelite_Urbano_SR;27,7968;0,2132
Satelite_Vegetacion2_SR;27,7803;0,1729
Satelite_Vegetacion3_SR;27,6586;0,1745
Satelite_Vegetacion_SR;28,3904;0,1594
Satelite_Viales2_SR;27,6801;0,1406
Satelite_Viales_SR;27,9637;0,3907
