epoch,train_loss,val_loss,psnr,ssim,lr
1,51.67620031731305,12.54519386246091,26.040057186924493,0.641653549758442,0.0001
2,50.22858291463196,12.28726472458007,26.284129473312728,0.6545339236749509,0.0001
3,49.73010913751015,12.273324147027637,26.29098530179316,0.6521101744650128,0.0001
4,49.36494492600344,12.129507693275572,26.411507007847156,0.6569095853123742,0.0001
5,49.09490919803525,12.113123435262649,26.42889772436528,0.658655755366066,0.0001
6,48.92355986079922,12.072173030648912,26.45479424849151,0.6539397410166626,0.0001
7,48.80796620565409,11.904191870522878,26.563804609337296,0.6606583267790874,0.0001
8,48.6505210455947,12.011108430097973,26.491120598452824,0.6583938887100369,0.0001
9,48.52613324588527,11.940624871182063,26.574889230796064,0.6606581876416159,0.0001
10,48.41138718798586,11.844584057319732,26.636179913624783,0.6607928305304968,0.0001
11,48.32056888602608,11.830632951380714,26.636769687809,0.6625113743465887,0.0001
12,48.28176032985138,11.84182472923067,26.63359016029019,0.6629105573952563,0.0001
13,48.18098933690085,11.847515573531862,26.58504137825493,0.660048376475301,0.0001
14,48.11241749721582,11.810579995302927,26.641792489978293,0.662539223266057,0.0001
15,47.97198706470167,11.861176732055725,26.618096279053063,0.6624986551552646,0.0001
16,47.97072858279933,11.801127136116936,26.655462012809547,0.6640961881251112,0.0001
17,47.8934353960932,11.743931070308836,26.707664147129417,0.6615609164987171,0.0001
18,47.86683397484455,11.774341641426087,26.696786869122505,0.6644330568278175,0.0001
19,47.81674921618581,11.703390100032564,26.726684710202115,0.6637989970545314,0.0001
20,47.762487463337045,11.739533491999383,26.7170526118875,0.6612630753352366,0.0001
21,47.679696556151384,11.743629258428301,26.71653242966726,0.6651480055234174,0.0001
22,47.65408443599175,11.704029396299331,26.730788047642125,0.6623710269487328,0.0001
23,47.577788428301005,11.722645430118318,26.708262600669606,0.661215912027863,0.0001
24,47.50709153578189,11.694043037709736,26.760003295684957,0.665712386648161,0.0001
25,47.50936208002634,11.685855650137341,26.755081463295507,0.6668297017854369,0.0001
26,47.468643694260656,11.665676447720754,26.749650946759605,0.6670479572244281,0.0001
27,47.39064234926642,11.645721437444763,26.76870723525514,0.6655960320494295,0.0001
28,47.37356429358016,11.739124342411284,26.712157437401526,0.6647913958366187,0.0001
29,47.33437597009777,11.63503672246706,26.792774389887008,0.6636227012627401,0.0001
30,47.27207908310623,11.635421374237726,26.78770362874373,0.6632762537995213,0.0001
31,47.24975626778112,11.648174684229351,26.776043457189665,0.6634526075935738,0.0001
32,47.26784308416334,11.541606318087805,26.85087425788223,0.6661244612979297,0.0001
33,47.18772930962076,11.593951670758308,26.794063964281982,0.6658230181021273,0.0001
34,47.14062509011096,11.592546097952223,26.81648729078292,0.6669825863017901,0.0001
35,47.105668880626396,11.49398635765579,26.8853376803405,0.6664723858010111,0.0001
36,47.05384003937411,11.53530908657634,26.86235462236543,0.6674690344622403,0.0001
37,47.07897517461295,11.536521349467929,26.83182090679027,0.6647535063586335,0.0001
38,47.010645112804816,11.533952105628119,26.841664515112353,0.6655796631159135,0.0001
39,46.99402474763583,11.544337526539016,26.83119103162817,0.6668301357366917,0.0001
40,46.89659408073241,11.631522929774391,26.782631170273692,0.6652454614219766,0.0001
41,46.918548300570876,11.537909841563966,26.84074517690367,0.666560960298256,0.0001
42,46.86927558941559,11.5213216104375,26.842737961177345,0.6648358158303306,0.0001
43,46.867592336564066,11.519202882516952,26.850999394267077,0.6675517901875221,0.0001
