Name;PSNR;SSIM
Satelite_Molinos2_SR;28,9419;0,5299
Satelite_Molinos3_SR;28,0233;0,4295
Satelite_Molinos_SR;28,0042;0,4120
Satelite_Urbano2_SR;27,8173;0,1123
Satelite_Urbano3_SR;27,7669;0,1077
Satelite_Urbano4_SR;27,8106;0,1668
Satelite_Urbano_SR;27,8310;0,2139
Satelite_Vegetacion2_SR;27,8297;0,1818
Satelite_Vegetacion3_SR;27,6640;0,1859
Satelite_Vegetacion_SR;28,3669;0,1564
Satelite_Viales2_SR;27,6767;0,1471
Satelite_Viales_SR;28,0423;0,3587
