Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,8143;0,6055
Satelite_Molinos3_1024x1024;28,2103;0,4983
Satelite_Molinos_1024x1024;27,7250;0,4339
Satelite_Urbano2_1024x1024;27,8060;0,1201
Satelite_Urbano3_1024x1024;27,7540;0,1157
Satelite_Urbano4_1024x1024;27,8315;0,1863
Satelite_Urbano_1024x1024;27,7364;0,2193
Satelite_Vegetacion2_1024x1024;27,7826;0,1890
Satelite_Vegetacion3_1024x1024;27,6349;0,1760
Satelite_Vegetacion_1024x1024;28,3662;0,1696
Satelite_Viales2_1024x1024;27,6662;0,1371
Satelite_Viales_1024x1024;28,0790;0,4352
