Name;PSNR;SSIM
Satelite_Molinos2_SR;28,2777;0,5823
Satelite_Molinos3_SR;28,0492;0,4639
Satelite_Molinos_SR;27,9492;0,4408
Satelite_Urbano2_SR;27,8218;0,1199
Satelite_Urbano3_SR;27,7578;0,1128
Satelite_Urbano4_SR;27,7806;0,1732
Satelite_Urbano_SR;27,8419;0,2190
Satelite_Vegetacion2_SR;27,8243;0,1839
Satelite_Vegetacion3_SR;27,6453;0,1780
Satelite_Vegetacion_SR;28,3660;0,1601
Satelite_Viales2_SR;27,6672;0,1415
Satelite_Viales_SR;27,9693;0,3928
