Name;PSNR;SSIM
Satelite_Molinos2_SR;28,7616;0,5270
Satelite_Molinos3_SR;27,8874;0,4377
Satelite_Molinos_SR;28,0169;0,4201
Satelite_Urbano2_SR;27,8193;0,1177
Satelite_Urbano3_SR;27,7560;0,1117
Satelite_Urbano4_SR;27,7779;0,1690
Satelite_Urbano_SR;27,8483;0,2182
Satelite_Vegetacion2_SR;27,8423;0,1827
Satelite_Vegetacion3_SR;27,6805;0,1894
Satelite_Vegetacion_SR;28,3724;0,1590
Satelite_Viales2_SR;27,6785;0,1494
Satelite_Viales_SR;27,9741;0,3732
