Name;PSNR;SSIM
Satelite_Molinos2_SR;28,6858;0,5296
Satelite_Molinos3_SR;27,8827;0,4239
Satelite_Molinos_SR;27,9677;0,4108
Satelite_Urbano2_SR;27,8178;0,1155
Satelite_Urbano3_SR;27,7542;0,1104
Satelite_Urbano4_SR;27,7740;0,1714
Satelite_Urbano_SR;27,8397;0,2163
Satelite_Vegetacion2_SR;27,8373;0,1823
Satelite_Vegetacion3_SR;27,6616;0,1758
Satelite_Vegetacion_SR;28,3850;0,1602
Satelite_Viales2_SR;27,6802;0,1427
Satelite_Viales_SR;28,0128;0,3701
