Name;PSNR;SSIM
Satelite_Molinos2_SR;28,5079;0,3793
Satelite_Molinos3_SR;27,8819;0,2960
Satelite_Molinos_SR;27,8620;0,2870
Satelite_Urbano2_SR;27,8121;0,0888
Satelite_Urbano3_SR;27,7591;0,0865
Satelite_Urbano4_SR;27,8273;0,1346
Satelite_Urbano_SR;27,8296;0,1620
Satelite_Vegetacion2_SR;27,8143;0,1373
Satelite_Vegetacion3_SR;27,6626;0,1334
Satelite_Vegetacion_SR;28,2944;0,1305
Satelite_Viales2_SR;27,6928;0,1108
Satelite_Viales_SR;28,0053;0,2679
