Name;PSNR;SSIM
Satelite_Molinos2_SR;28,8869;0,5741
Satelite_Molinos3_SR;28,0510;0,4566
Satelite_Molinos_SR;27,9392;0,4268
Satelite_Urbano2_SR;27,8232;0,1174
Satelite_Urbano3_SR;27,7654;0,1121
Satelite_Urbano4_SR;27,8180;0,1771
Satelite_Urbano_SR;27,8394;0,2157
Satelite_Vegetacion2_SR;27,8377;0,1818
Satelite_Vegetacion3_SR;27,6652;0,1824
Satelite_Vegetacion_SR;28,3629;0,1609
Satelite_Viales2_SR;27,6723;0,1457
Satelite_Viales_SR;28,0147;0,3899
