Name;PSNR;SSIM
Satelite_Molinos2_SR;28,5224;0,3144
Satelite_Molinos3_SR;27,9843;0,3153
Satelite_Molinos_SR;28,0875;0,3257
Satelite_Urbano2_SR;27,8389;0,0959
Satelite_Urbano3_SR;27,7619;0,0876
Satelite_Urbano4_SR;27,8221;0,1248
Satelite_Urbano_SR;27,8918;0,1784
Satelite_Vegetacion2_SR;27,8768;0,1548
Satelite_Vegetacion3_SR;27,7151;0,1621
Satelite_Vegetacion_SR;28,3214;0,1279
Satelite_Viales2_SR;27,7318;0,1344
Satelite_Viales_SR;28,0213;0,2368
