Name;PSNR;SSIM
Satelite_Molinos2_SR;28,5941;0,5484
Satelite_Molinos3_SR;28,1174;0,4578
Satelite_Molinos_SR;28,0051;0,4266
Satelite_Urbano2_SR;27,8134;0,1173
Satelite_Urbano3_SR;27,7609;0,1131
Satelite_Urbano4_SR;27,8085;0,1754
Satelite_Urbano_SR;27,8553;0,2195
Satelite_Vegetacion2_SR;27,8302;0,1818
Satelite_Vegetacion3_SR;27,6738;0,1834
Satelite_Vegetacion_SR;28,3331;0,1615
Satelite_Viales2_SR;27,6906;0,1506
Satelite_Viales_SR;28,0109;0,3866
