Name;PSNR;SSIM
Satelite_Molinos2_SR;28,9648;0,5715
Satelite_Molinos3_SR;28,1062;0,4634
Satelite_Molinos_SR;27,9319;0,4307
Satelite_Urbano2_SR;27,8198;0,1151
Satelite_Urbano3_SR;27,7623;0,1114
Satelite_Urbano4_SR;27,8230;0,1722
Satelite_Urbano_SR;27,8262;0,2152
Satelite_Vegetacion2_SR;27,8362;0,1786
Satelite_Vegetacion3_SR;27,6534;0,1725
Satelite_Vegetacion_SR;28,3878;0,1561
Satelite_Viales2_SR;27,6612;0,1450
Satelite_Viales_SR;27,9751;0,3787
