epoch,train_loss,val_loss,psnr,ssim,lr
1,51.6754517936755,13.261752446492514,24.58181933969979,0.6213577416254541,0.0001
2,50.22764000905962,13.501230239868164,24.50011820061306,0.6291198715143671,0.0001
3,49.72809430685084,13.947384516398111,24.170160707796025,0.6188355352178474,0.0001
4,49.36281681424142,13.479313532511393,24.37646628655989,0.6116207719510224,0.0001
5,49.09166488763733,12.730271657307943,24.76229826461406,0.6250229657190215,0.0001
6,48.92204246782609,13.219838778177897,24.35490453991095,0.6111929863356682,0.0001
7,48.807223228200726,12.870670954386393,24.57311189398288,0.6013511749129834,0.0001
8,48.65171920063231,12.438728332519531,24.77190619764882,0.6090003890335537,0.0001
9,48.52567954205122,12.452879269917807,24.791686968552742,0.6120264784430577,0.0001
10,48.40860561189659,12.806560198465982,24.635321567075867,0.6065797760964854,0.0001
11,48.3202872282362,12.715776443481445,24.707536500150763,0.6127277163111442,0.0001
12,48.281597393250024,12.643537839253744,24.720234333392245,0.621247396022791,0.0001
13,48.1794051474837,12.935648918151855,24.52006071335535,0.6107883567523743,0.0001
14,48.11034365889685,12.325764497121176,24.848971010212665,0.6107641785946304,0.0001
15,47.97220570295633,12.23015054066976,24.973004576216926,0.6206550542065673,0.0001
16,47.96847646866833,12.340137163798014,24.893553448428833,0.6174682034463235,0.0001
17,47.894733462867805,12.589885075887045,24.714698498215327,0.6100240671655001,0.0001
18,47.864101387626604,12.59966246287028,24.719797090624994,0.6113365294685355,0.0001
19,47.813057066917665,12.144131501515707,24.969371817146634,0.612844476047845,0.0001
20,47.761286859800585,12.37302017211914,24.731756315785344,0.6031181568335605,0.0001
21,47.67251502326033,12.268648147583008,24.88769029400332,0.6144345931695226,0.0001
22,47.6510782239399,12.249924023946127,24.883197439817824,0.6111981471937556,0.0001
23,47.565314250516806,12.269482930501303,24.916168581404904,0.6067713291254111,0.0001
24,47.503739880946256,12.100201765696207,24.98151156272864,0.6092972604887833,0.0001
25,47.49341671037468,11.925470034281412,25.040015975014743,0.610682805662644,0.0001
26,47.43440812827671,12.64052645365397,24.674175731854145,0.6067569664371228,0.0001
27,47.44875546775859,12.320053100585938,24.790631751580282,0.6055175276846468,0.0001
28,47.382243885314494,12.659528414408365,24.727095462077756,0.611612305994454,0.0001
29,47.3083415827171,12.374958992004395,24.818610522577973,0.6055367757973208,0.0001
30,47.276510648022516,12.403393109639486,24.812138344395432,0.6093662594567495,0.0001
31,47.25349300598656,12.598795890808105,24.664428796987437,0.601646889345402,0.0001
32,47.17398332901524,12.914852778116861,24.574293525985457,0.605555715698673,0.0001
33,47.15453908744426,12.080924352010092,24.983402017717893,0.6093049078604295,0.0001
